name,url,review count,rating,snippet,neighborhood,latitude,longitude,category,type
21st Street Coffee And Tea,http://www.yelp.com/biz/21st-street-coffee-and-tea-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,36,4,"The best espresso downtown by far.

This is my favorite espresso in the city. 21st is on point. They serve it with a small glass of sparkling water.

The...",Downtown,40.44131,-80.00121,coffee,food
A & B Doughnuts,http://www.yelp.com/biz/a-and-b-doughnuts-homestead?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,2,5,"Before I left Pittsburgh for Texas, my sister and I went on every single thing we had not done in Pittsburgh. The list was short but on the list was a...",Homestead,40.40867615,-79.90471649,donuts,food
Acacia,http://www.yelp.com/biz/acacia-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,83,4.5,"I give 5 stars for their cocktails, the concept, and its contribution to Pittsburgh's ongoing culinary and libation revolution. 

There's an element of...",South Side,40.428219,-79.97583,nightlife,nightlife
Aiello's Pizza,http://www.yelp.com/biz/aiellos-pizza-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,130,4,"Really awesome pizza. You can argue about the merits of other pizza shops, but the sauce on Aiello's is great, and I love the crust.

Bring cash, get take...",Squirrel Hill,40.4332619,-79.9232407,pizza,food
All India,http://www.yelp.com/biz/all-india-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,73,4,All India was quite the experience! My chalice glass was constantly full of water and the atmosphere was amazing! With Indian dance videos playing in the...,Oakland,40.4521894,-79.9525714,indpak,food
Alla Famiglia,http://www.yelp.com/biz/alla-famiglia-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,106,4.5,"Our experience last night at Alla Famiglia for Alicia's, my fiance's birthday, has changed my view of restaurants, food, service and ambiance in this...",Allentown,40.4216118,-79.9934616,italian,food
Allegheny Coffee & Tea Exchange,http://www.yelp.com/biz/allegheny-coffee-and-tea-exchange-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,35,4,"Not only does the coffee taste great, it's not overpriced, and the employees are always friendly. 

No matter how full I am after visiting one of the great...",Strip District,40.4513403,-79.9838608,coffee,food
Allegheny Sandwich Shoppe,http://www.yelp.com/biz/allegheny-sandwich-shoppe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,19,4,"One of the best diners around--great traditional breakfast and lunch dishes, and a homey, comfortable atmosphere (and neat as a pin and super clean and...",North Side,40.4523081,-80.0150592,sandwiches,food
Allegro Hearth Bakery,http://www.yelp.com/biz/allegro-hearth-bakery-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,52,4.5,"We have a weekly ongoing order sourdough pick up and it's awesome but you know what's not so awesome after the initial awesomeness wears off?

Their fucking...",Squirrel Hill,40.43384215,-79.92308241,bakeries,food
Altius,http://www.yelp.com/biz/altius-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,162,4.5,"After 3 failed attempts (due to weather), we finally succeeded! Yay, us! This was my last week in Pittsburgh for work so we decided this was a must do...",Duquesne Heights,40.438556,-80.019299,newamerican,food
Amazing Cafe,http://www.yelp.com/biz/amazing-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,53,5,"The Amazing Cafe is a completely organic restaurant located in the 1500 block of East Carson St. The place is small but nicely arranged.

Since my visit was...",South Side,40.42868,-79.98312,cafes,food
Amazing Wok,http://www.yelp.com/biz/amazing-wok-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,32,4,"In the Dormont area, Amazing Wok is the best for quick, affordable and tasty Chinese takeout/delivery. This is not a dine-in restaurant. The food has always...",Dormont,40.39469942,-80.03484249,chinese,food
Andy's Sushi Bar,http://www.yelp.com/biz/andys-sushi-bar-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,44,4,Andy is great and his sushi is even better!  I've worked in the strip now for 12 years and have been going here ever since it all started.  The food is...,Strip District,40.45011139,-79.98587799,sushi,food
Angkor Restaurant,http://www.yelp.com/biz/angkor-restaurant-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,59,4,This is an excellent Thai/Cambodian restaurant. The first night they let me sample the green curry sauce and the Panang sauce. I ended up trying a Cambodian...,West End,40.42744064,-80.05576324,thai,food
Apsara Cafe,http://www.yelp.com/biz/apsara-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,47,4,I have been wanting to eat here for a while and I finally did this week. My boyfriend and I are big fans of Thai food and like trying different places. We...,South Side,40.42896883,-79.9817369,thai,food
Arancini House,http://www.yelp.com/biz/arancini-house-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,13,4.5,"Find it! Easier said than done since it's in the basement of the building. Amazing arancini in several varieties - fresh, warm and crispy. We also managed...",,40.382362,-80.043747,italian,food
Arcade Bakery & Cafe,http://www.yelp.com/biz/arcade-bakery-and-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,6,4.5,"On many levels, I consider myself a Macy's devotee.  Every day is a One-Day sale and my Macy's card gives me access to coupons that keep me surrounded in...",Downtown,40.4395294,-79.9983673,cafes,food
Arcade Comedy Theater,http://www.yelp.com/biz/arcade-comedy-theater-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4.5,"This place is awesome. Terrific. Fun!!!!
There are shows for kids, shows for adults, shows for adults-only, shows for families.
The Arcade hosts many types...",Downtown,40.443036,-79.998621,arts,arts
Arnold's Tea,http://www.yelp.com/biz/arnolds-tea-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4.5,I decided to check this place out since it has been a while since I've been on the North-side. There is street parking along with a parking lot on a...,North Side,40.453701,-80.000473,coffee,food
Asian House,http://www.yelp.com/biz/asian-house-west-mifflin?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,3,3.5,This was my first time here. I brought the family because we have individual tastes and could get the full flavor of the restaurant. The Shrimp Lo Mein was...,,40.38366531,-79.86765394,ethnicmarkets,food
Athens,http://www.yelp.com/biz/athens-north-versailles?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,4,4.5,Stopped for a gyro on my way home from work. Read good reviews about so I wanted to try this place. I got a gyro and fries for $7.99 and hummus and pita for...,,40.3937442,-79.8192188,ethnicmarkets,food
Avenue B,http://www.yelp.com/biz/avenue-b-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,164,4,"Really excellent meal, easily the best I had in my visit to Pittsburgh.

BYOB is such a fun concept, and loved that we got to pick out our own wine. Upon...",Friendship,40.45685577,-79.93643188,newamerican,food
Bangal Kabab House and Restaurant,http://www.yelp.com/biz/bangal-kabab-house-and-restaurant-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,87,4.5,"I have only ever been here for the lunch buffet, but I have out of the five other lunch buffets I have tried so far in Pittsburgh, this one is by far my...",Oakland,40.439047,-79.9554689,indpak,food
Bar 11,http://www.yelp.com/biz/bar-11-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,43,4,"Some people call this a frat house, maybe if a frat house is run by a couple of 50 year old guys, but dont get me wrong its a fun place.  

You order a...",South Side,40.42720445,-79.98731442,nightlife,nightlife
Bar Marco,http://www.yelp.com/biz/bar-marco-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,172,4,My daughter and I were trying to decide where to eat dinner last night. She went to the Pittsburgh Magazine website and looked at their list. She picked out...,Strip District,40.45249176,-79.98155975,cafes,food
